id_nom_type_voie;nom_type_voie
1;RUE
2;BD
3;AV
4;RES
5;PL
6;ALL
7;PARC
8;RTE
9;SQ
10;
11;CITE
12;IMP
13;CHE
14;FG
15;QUAI
16;PROM
17;PAS
18;CRS
19;CHEM
20;MAIL
21;VC
22;TSSE
23;CLOS
24;GR
25;TRA
26;LOT
27;CAMI
28;CHS
29;DSC
30;DOM
31;SEN
32;VLA
33;COUR
34;MRN
35;VGE
36;RPE
37;PTE
38;HAM
39;MTE
40;CD
41;COR
42;RLE
43;ESPA
44;QUA
45;PASS
46;VEN
47;ROC
48;MAIS
49;VTE
50;ESP
51;PLA
52;CC
53;FRM
54;BRTL
55;VIL
56;CASR
57;GPL
58;CHT
59;RPT
60;VOIE
61;COTE
62;CR
63;VALL
64;VAL
65;REM
66;PTTE
67;N
68;ART
69;ESC
70;VCHE
71;ZAC
72;HLM
73;PTR
74;CAE
75;ACH
76;PIST
77;PRV
78;GAL
79;PLAN
80;ILOT
